Tahun Anggaran;Satuan Kerja;ID RUP;ID Tender;Nama Paket;Pemenang;Pagu;HPS;Harga Penawaran;Akun;Jenis Belanja;Jenis Pengadaan;1234;Metode Pengadaan;%Efisiensi;Lokasi_Prov;Klasifikasi BJ;Tanggal Pengumuman;Tanggal Akhir Masa Sanggah;Lama Tender (Hari Kerja)
2022;KANWIL DITJEN PERBENDAHARAAN PROVINSI SULAWESI TENGAH;31347303;36264011;Rehabilitasi Rumah Negara Jalan Suprapto No 56, No 54, No 54A, Jalan S Parman No 43C dan Jalan Swadaya No 3D;CV ARIF KARYA UTAMA;1202380;601190;480952;533121;Modal;Pekerjaan Konstruksi;1;Tender;0,2;Sulawesi Tengah;Pekerjaan Konstruksi;30/05/2022;15/06/2022;12
2022;KANTOR PELAYANAN PERBENDAHARAAN NEGARA AMBON;35425865;36260011;Paket Pelaksanaan Pekerjaan Renovasi Rumah Negara Golongan II Tipe C Karang Panjang;CV. Zhafira subur makmur;524300;524300;417500;533121;Modal;Pekerjaan Konstruksi;1;Tender;0,2;Maluku;Pekerjaan Konstruksi;12/04/2022;13/05/2022;21
2022;KANTOR PUSAT DIREKTORAT JENDERAL PAJAK;31497268;36258011;Survei Kepuasan Pelayanan dan Efektivitas Penyuluhan dan Kehumasan DJP;PT. Marketing Sentratama Indonesia;1104180;1104173;1042640;522131;Barang;Jasa Konsultasi;1;Seleksi;0,06;DKI Jakarta;Konsultansi;18/04/2022;22/06/2022;44
2022;KANTOR PELAYANAN PERBENDAHARAAN NEGARA TOLI TOLI;31206295;36256011;Pekerjaan Konstruksi Rehabilitasi Rumah Dinas Tipe C Golongan I;CV. ULAWU PANRITA;360997;360960;333664;533121;Modal;Pekerjaan Konstruksi;1;Tender;0,08;Sulawesi Tengah;Pekerjaan Konstruksi;20/04/2022;24/05/2022;23
2022;KANTOR WILAYAH DJP JAWA TIMUR II;32624416;36252011;PAKET PEKERJAAN PELAKSANA JASA KONSTRUKSI FISIK RENOVASI RUMAH DINAS  KANTOR WILAYAH DJP JAWA TIMUR II;CV. TIQA CEMERLANG;5170692;5170688;4136550;533121;Modal;Pekerjaan Konstruksi;1;Tender;0,2;Jawa Timur;Pekerjaan Konstruksi;03/06/2022;05/07/2022;23
2022;PUSAT SISTEM INFORMASI DAN TEKNOLOGI KEUANGAN;34648910;36248011;,Pengadaan Perangkat Jaringan Pengelolaan Bea dan Cukai Tahap 2 Tahun Anggaran 2022;PT. Telekomunikasi Indonesia, Tbk.;6832969;6792945;6791646;532111;Modal;Pengadaan Barang;2;Tender;0;Kalimantan Timur;IT;08/04/2022;26/04/2022;12
2022;KANTOR PUSAT DIREKTORAT JENDERAL PERBENDAHARAAN;31052543;36238011;Pekerjaan Penataan Jaringan Listrik Gedung Prijadi Praptosuhardjo III.A dan Gedung Prijadi Praptosuhardjo III.B Kantor Pusat Direktorat Jenderal Perbendaharaan;ASARO ANUGERAH;2040534;2040000;1632000;533121;Modal;Pekerjaan Konstruksi;1;Tender;0,2;DKI Jakarta;Pekerjaan Konstruksi;29/05/2022;30/06/2022;23
2022;KANTOR PUSAT DIREKTORAT JENDERAL BEA DAN CUKAI;35334302;36233011;Jasa Pemeliharaan W6/QL-4 Mesin Induk MTU Tipe 12 V 2000 M90 PSO Bea Cukai Tanjung Priok;PT. Dieselindo Utama Nusa;7000921;6632086;6614322;523121;Barang;Jasa Lainnya;1;Tender;0;DKI Jakarta;Pemeliharaan Peralatan/Mesin;06/04/2022;27/04/2022;15
2022;KANTOR WILAYAH DJP RIAU;30718592;36231011;Pengadaan Jasa Keamanan, Resepsionis, dan Pengemudi pada Kantor Wilayah Direktorat Jenderal Pajak Riau Tahun Anggaran 2022;PT. TRANS DANA PROFITRI;1350000;837939;807974;521111;Barang;Jasa Lainnya;3;Tender;0,04;Riau;Operasional/TUSI;08/04/2022;25/04/2022;11
2022;KANTOR PUSAT DIREKTORAT JENDERAL PAJAK;31408076;36229011;Perpanjangan Lisensi Peralatan Forensik Digital Tahun Anggaran 2022;PT Citra Cendikia Solusi;4750044;4490014;4436139;523199;Barang;Pengadaan Barang;1;Tender;0,01;DKI Jakarta;IT;20/04/2022;09/05/2022;12
2022;KANTOR PELAYANAN PAJAK PRATAMA SIDOARJO UTARA;34837608;36227011;Pengadaan Pelaksana Kegiatan Renovasi Gedung KPP Pratama Sidoarjo Utara Tahun Anggaran 2022;D'LIMA ENGINEERING, CV;13380000;13370499;10696346;533121;Modal;Pekerjaan Konstruksi;1;Tender;0,2;Jawa Timur;Pekerjaan Konstruksi;31/03/2022;28/04/2022;20
2022;KANTOR PUSAT DIREKTORAT JENDERAL BEA DAN CUKAI;32488514;36226011;Pengadaan Server Aplikasi dan Sarana Pendukungnya Pada Direktorat Jenderal Bea dan Cukai T.A. 2022;PT. PRO SISTIMATIKA AUTOMASI;19789545;19739154;19541763;532111;Modal;Pengadaan Barang;1;Tender;0,01;DKI Jakarta;IT;31/03/2022;25/04/2022;17
2022;KANTOR PUSAT DJKN;35231638;36225011;Pengadaan Renewal Perangkat Controller dan Wireless Access Point;PT NUSANTARA COMPNET INTEGRATOR;1013184;1013182;993168;523121;Barang;Jasa Lainnya;1;Tender;0,02;DKI Jakarta;IT;30/03/2022;12/04/2022;10
2022;KANTOR PUSAT DIREKTORAT JENDERAL PAJAK;31408067;36223011;Pemeliharaan Perangkat Network Tahun Anggaran 2022;PT NUSANTARA COMPNET INTEGRATOR;5157072;3121066;3089910;523121;Barang;Jasa Lainnya;1;Tender;0,01;DKI Jakarta;Pemeliharaan Peralatan/Mesin;08/04/2022;26/04/2022;12
2022;KANTOR PELAYANAN PERBENDAHARAAN NEGARA JEMBER;33212167;36218011;Paket Pekerjaan Konstruksi Rehabilitasi Rumah Dinas Pada Kantor Pelayanan Perbendaharaan Negara Jember;CV. IKA MULYA CIPTA MANDIRI;243366;243366;194693;533121;Modal;Pekerjaan Konstruksi;1;Tender;0,2;Jawa Timur;Pekerjaan Konstruksi;31/03/2022;19/04/2022;13
2022;DIREKTORAT JENDERAL PERIMBANGAN KEUANGAN;34837564;36213011;Pengadaan Renovasi Radius Prawiro Lt.3, Lt.4, dan Lt.10 pada Direktorat Jenderal Perimbangan Keuangan;Sang Anggana;1184456;914156;731325;536111;Modal;Pekerjaan Konstruksi;1;Tender;0,2;DKI Jakarta;Pekerjaan Konstruksi;29/03/2022;27/04/2022;21
2022;KANTOR PUSAT DIREKTORAT JENDERAL BEA DAN CUKAI;32298288;36207011;,Paket Pengadaan Marine dan Tactical PPE;CV.Sedaya Handali Pratama;4606466;4573678;4520986;521219;Barang;Pengadaan Barang;2;Tender;0,01;DKI Jakarta;Operasional/TUSI;04/04/2022;20/04/2022;12
2022;KANTOR PUSAT DIREKTORAT JENDERAL PAJAK;31408046;36196011;Pemeliharaan Perangkat Storage Tahun Anggaran 2022;PT Nagitec;13038288;10206966;9519384;523121;Barang;Jasa Lainnya;2;Tender;0,07;DKI Jakarta;Pemeliharaan Peralatan/Mesin;11/05/2022;30/05/2022;13
2022;PUSAT SISTEM INFORMASI DAN TEKNOLOGI KEUANGAN;35019594;36187011;Pengembangan Perangkat Manajemen IP;PT. MITRA SOLUSI INFOKOM;1087900;1040070;1039049;532111;Modal;Pengadaan Barang;1;Tender;0;Kalimantan Timur;IT;25/03/2022;11/04/2022;12
2022;POLITEKNIK KEUANGAN NEGARA STAN;35019595;36175011;Pengadaan Lemari dan Tempat Tidur Asrama PKN STAN TA 2022;CV. SEMBILAN BENUA;2350000;2303112;1618824;532111;Modal;Pengadaan Barang;1;Tender;0,3;Banten;Pengadaan Peralatan Mesin;24/03/2022;19/04/2022;18
2022;KANTOR PUSAT DIREKTORAT JENDERAL PAJAK;34999372;36173011;Pengadaan Jasa Konsultansi Pengawasan Renovasi Rumah Negara di Wilayah DKI Jakarta Paket B Tahun Anggaran 2022;CV.MARGA JAYA;249314;248775;248551;533121;Modal;Jasa Konsultansi Badan Usaha Konstruksi;1;Seleksi;0;DKI Jakarta;Konsultansi Konstruksi;30/03/2022;17/05/2022;32
2022;KANTOR PELAYANAN KEKAYAAN NEGARA DAN LELANG PADANGSIDEMPUAN;34283545;36171011;Pengadaan Kendaraan Dinas Operasional Roda 4 KPKNL Padangsidimpuan TA 2022;PT. ASTRA INTERNATIONAL TBK-TSO;285000;282050;280000;532111;Modal;Pengadaan Barang;1;Tender;0,01;Sumatera Utara;Kendaraan;23/03/2022;30/03/2022;6
2022;KANTOR PUSAT DIREKTORAT JENDERAL PAJAK;34999371;36169011;Pengadaan Jasa Konsultansi Pengawasan Renovasi Rumah Negara di Wilayah DKI Jakarta Paket A Tahun Anggaran 2022;CV. APIK KARYA;256693;248775;225245;533121;Modal;Jasa Konsultansi Badan Usaha Konstruksi;1;Seleksi;0,09;DKI Jakarta;Konsultansi Konstruksi;31/03/2022;23/05/2022;35
2022;KANTOR PELAYANAN PERBENDAHARAAN NEGARA MUARA BUNGO;34171175;36144011;Pekerjaan Renovasi 2 Unit Rumah Dinas KPPN Muara Bungo;CV. ABIMANYU JAYA;254203;254203;218613;533121;Modal;Pekerjaan Konstruksi;1;Tender;0,14;Jambi;Pekerjaan Konstruksi;21/03/2022;11/04/2022;16
2022;KANTOR PUSAT DIREKTORAT JENDERAL BEA DAN CUKAI;31133343;36128011;Pengadaan Jasa Pemeliharaan Sarana dan Prasarana Pendukung CEISA di Lingkungan Direktorat Jenderal Bea dan Cukai TA 2022;PT. Limawira Wisesa;31882167;28938491;28506119;523121;Barang;Jasa Lainnya;1;Tender;0,01;DKI Jakarta;Pemeliharaan Peralatan/Mesin;17/03/2022;05/04/2022;14
2022;KANTOR PUSAT DIREKTORAT JENDERAL BEA DAN CUKAI;34605604;36117011;Pengadaan Jasa Konsultansi Manajemen Konstruksi Pembangunan Infrastruktur dan Sarana Prasarana Unit K-9 Kantor Pusat DJBC Tahun Anggaran 2022 (Lanjutan Tahap 1);PT. RIAU MULTI CIPTA DIMENSI;1009409;1000010;752192;533111;Modal;Jasa Konsultansi Badan Usaha Konstruksi;1;Seleksi;0,25;DKI Jakarta;Konsultansi Konstruksi;29/03/2022;21/06/2022;56
2022;KANTOR PUSAT DIREKTORAT JENDERAL BEA DAN CUKAI;34605604;36117011;Pengadaan Jasa Konsultansi Manajemen Konstruksi Pembangunan Infrastruktur dan Sarana Prasarana Unit K-9 Kantor Pusat DJBC Tahun Anggaran 2022 (Lanjutan Tahap 1);pt.gubahreka consultant;1009409;1000010;888899;533111;Modal;Jasa Konsultansi Badan Usaha Konstruksi;1;Seleksi;0,11;DKI Jakarta;Konsultansi Konstruksi;29/03/2022;21/06/2022;56
2022;KANTOR PUSAT DIREKTORAT JENDERAL BEA DAN CUKAI;34569655;36103011;Pemeliharaan General Overhoul Mesin Bantu Perkins Tahun Anggaran 2022;CV.HAIROS KREASINDO NUSANTARA;878199;787931;631295;523121;Barang;Jasa Lainnya;1;Tender;0,2;Sulawesi Tengah;Pemeliharaan Peralatan/Mesin;16/03/2022;04/04/2022;14
2022;KANTOR PELAYANAN PERBENDAHARAAN NEGARA MAJENE;34569625;36102011;PEKERJAAN KONSTRUKSI REHABILITASI RUMAH DINAS KANTOR PELAYANAN PERBENDAHARAAN NEGARA MAJENE TAHUN 2022;MULTI KARYA DIMENSI;378000;377642;302114;533121;Modal;Pekerjaan Konstruksi;1;Tender;0,2;Sulawesi Barat;Pekerjaan Konstruksi;20/06/2022;20/07/2022;23
2022;KANTOR PUSAT DIREKTORAT JENDERAL BEA DAN CUKAI;34532292;36101011;JASA PEMELIHARAAN GENERAL OVERHAUL MESIN BANTU DAEWOO TIPE AD136F;YUNIX CIPTA MANDIRI;1880000;1801561;1529154;523121;Barang;Jasa Lainnya;1;Tender;0,15;DKI Jakarta;Pemeliharaan Peralatan/Mesin;16/03/2022;30/03/2022;11
2022;KANTOR PUSAT DIREKTORAT JENDERAL BEA DAN CUKAI;30666851;36100011;Pengadaan Kaos Kaki Pegawai DJBC Tahun Anggaran 2022;PT.JESSICA PARNA MEDIKA;1000440;883722;829165;521811;Barang;Pengadaan Barang;1;Tender;0,06;DKI Jakarta;Operasional/TUSI;30/03/2022;25/05/2022;38
2022;KANTOR PUSAT DIREKTORAT JENDERAL BEA DAN CUKAI;32488516;36098011;Pengadaan Storage dan Sarana Pendukungnya Pada Direktorat Jenderal Bea dan Cukai T.A 2022;PT. MITRA SOLUSI INFOKOM;15070000;14998997;14997932;532111;Modal;Pengadaan Barang;1;Tender;0;DKI Jakarta;IT;14/03/2022;04/04/2022;16
2022;KANTOR PELAYANAN PAJAK PRATAMA PANGKALAN BUN;31299404;36097011;Pengadaan Penyedia Pekerjaan Konstruksi Kegiatan Pematangan Tanah dan Pembangunan Rumah Negara  Type D (12 unit) KPP Pratama Pangkalanbun;PT. ALVIRNA FAURAMARGA;3210000;3209965;2567972;533111;Modal;Pekerjaan Konstruksi;1;Tender;0,2;Kalimantan Tengah;Pekerjaan Konstruksi;22/03/2022;19/04/2022;20
2022;KANTOR PUSAT DIREKTORAT JENDERAL BEA DAN CUKAI;34325132;36094011;JASA PEMELIHARAAN GENERAL OVERHAUL MESIN BANTU CATERPILLAR TIPE C9;CV.Sedaya Handali Pratama;3600000;3577668;3276792;523121;Barang;Jasa Lainnya;1;Tender;0,08;DKI Jakarta;Pemeliharaan Peralatan/Mesin;14/03/2022;30/03/2022;13
2022;KANTOR PUSAT DJKN;31171395;36079011;Pengadaan Perpanjangan Garansi Perangkat IBM Server dan Storage;PT Global Infotech Solution;4500000;4499996;4079667;523121;Barang;Jasa Lainnya;1;Tender;0,09;DKI Jakarta;IT;14/03/2022;04/04/2022;16
2022;KANWIL DITJEN PERBENDAHARAAN PROVINSI SULAWESI TENGGARA;31133232;36074011;Rehabilitasi Rumah Dinas Golongan II Tipe C;CV.FAISAYANG CONSTRUCTION;650971;649500;519600;533121;Modal;Pekerjaan Konstruksi;1;Tender;0,2;Sulawesi Tenggara;Pekerjaan Konstruksi;10/03/2022;29/03/2022;14
2022;KANTOR PELAYANAN PAJAK MADYA DUA BANDUNG;32624118;36073011;Pengadaan Jasa Konsultansi Pengawasan Renovasi Gedung Kantor dan Sarana Pendukungnya Kantor Pelayanan Pajak Madya Dua Bandung Tahap III Tahun Anggaran 2022;Ramu Prima Persada;337760;337622;317875;536121;Modal;Jasa Konsultansi Badan Usaha Konstruksi;1;Seleksi;0,06;Jawa Barat;Konsultansi Konstruksi;21/03/2022;25/04/2022;25
2022;KANTOR PUSAT DIREKTORAT JENDERAL PAJAK;34143486;36067011;Pengadaan Penambahan Kapasitas Lisensi Software Elektronik Form SPT Tahun Anggaran 2022;PT. NATA SOLUSI PRATAMA;16776980;12340900;12100000;536111;Modal;Pengadaan Barang;1;Tender;0,02;DKI Jakarta;IT;14/03/2022;01/04/2022;15
2022;KANTOR PELAYANAN PERBENDAHARAAN NEGARA CILACAP;33965695;36052011;Rehabilitasi Rumah Dinas Type 70 Kantor Pelayanan Perbendaharaan Negara Cilacap;CV. MEGAH JAYA;237000;236998;189598;533121;Modal;Pekerjaan Konstruksi;1;Tender;0,2;Jawa Tengah;Pekerjaan Konstruksi;31/03/2022;18/04/2022;12
2022;KANTOR PUSAT PENGOLAHAN DATA DAN DOKUMEN PERPAJAKAN;33795678;36049011;Paket Jasa Pemeliharaan Server Dell PPDDP TA 2022;PT SOLUSI TRANSFORMA TEKNOLOGI;1652000;1622951;1621901;523121;Barang;Jasa Lainnya;1;Tender;0;DKI Jakarta;IT;04/03/2022;21/03/2022;12
2022;KANTOR PELAYANAN PERBENDAHARAAN NEGARA DUMAI;33965687;36047011;Rehab Pagar Rumah Dinas KPPN Dumai TA 2022;CV. JERIS PUTRA RIAU;380720;380220;328648;533121;Modal;Pekerjaan Konstruksi;1;Tender;0,14;Riau;Pekerjaan Konstruksi;09/03/2022;29/03/2022;15
2022;KANTOR PELAYANAN PERBENDAHARAAN NEGARA RUTENG;33988000;36044011;Pekerjaan Jasa RekonstrukI Gedung KPPN Ruteng;D'LIMA ENGINEERING, CV;5658437;5658191;4526553;533111;Modal;Pekerjaan Konstruksi;1;Tender;0,2;Nusa Tenggara Timur;Pekerjaan Konstruksi;27/02/2022;04/04/2022;24
2022;KANTOR PUSAT DIREKTORAT JENDERAL PERBENDAHARAAN;33795677;36039011;PENGADAAN MATERIAL JARINGAN DALAM RANGKA PEMELIHARAAN PERANGKAT PENDUKUNG SPAN, SAKTI DAN MPN PADA DIREKTORAT JENDERAL PERBENDAHARAAN TA.2022;PT THEOS SUMBER BERKAT;1824000;1823272;1472977;523121;Barang;Pengadaan Barang;1;Tender;0,19;DKI Jakarta;Pemeliharaan Peralatan/Mesin;22/02/2022;16/03/2022;15
2022;KANTOR PELAYANAN PERBENDAHARAAN NEGARA SUKABUMI;30998955;36033011;Renovasi gedung Kantor;DORESTI SEPALAN HIDUP;334728;334464;267571;533121;Modal;Pekerjaan Konstruksi;1;Tender;0,2;Jawa Barat;Pekerjaan Konstruksi;30/03/2022;18/04/2022;13
2022;KANTOR PUSAT DIREKTORAT JENDERAL PAJAK;33425444;36026011;Perpanjangan Lisensi Software Performance Testing Tahun Anggaran 2022;PT. Quadrant Solutions;1699717;1519621;1505900;523199;Barang;Pengadaan Barang;1;Tender;0,01;DKI Jakarta;IT;07/03/2022;22/03/2022;12
2022;PANGKALAN SARANA OPERASI DJBC TANJUNG BALAI KARIMUN;32369455;36011011;Pengadaan Jasa Jahit Pakaian Dinas Pegawai Tahun Anggaran 2022;MENOREH MAKMUR;988000;286394;147108;521119;Barang;Jasa Lainnya;1;Tender;0,49;Kepulauan Riau;Peralatan dan Perlengkapan Perkantoran;02/03/2022;21/03/2022;13
2022;KANTOR PUSAT DJKN;31171396;35997011;Pengadaan Perpanjangan Garansi Perangkat Video Conference;PT. Prima Dua Jaya;1370000;1369995;1342601;523121;Barang;Jasa Lainnya;1;Tender;0,02;DKI Jakarta;IT;24/02/2022;14/03/2022;11
2022;KANTOR PUSAT DIREKTORAT JENDERAL PAJAK;33599914;35995011;Pengadaan Jasa Sewa Mesin Fotokopi Pada Kantor Pusat Direktorat Jenderal Pajak Untuk Tahun Anggaran 2022;PT. PERDANA JATIPUTRA;4922500;3985795;2813613;522141;Barang;Jasa Lainnya;1;Tender;0,29;DKI Jakarta;Sewa Fotokopi;16/02/2022;24/02/2022;7
2022;KANTOR PUSAT DIREKTORAT JENDERAL PAJAK;33695295;35992011;Sosialisasi Perpajakan melalui Talkshow Televisi;PT. ARTISTIKA SOLUSI INDONESIA;1500000;1488839;1259500;522191;Barang;Jasa Lainnya;1;Tender;0,15;DKI Jakarta;Operasional/TUSI;23/02/2022;14/03/2022;12
2022;KANTOR PUSAT DIREKTORAT JENDERAL PAJAK;33695296;35991011;Talkshow Interaktif Melalui Radio;PT. CIPTA KARYA MULTIGUNA;800000;799838;651750;522191;Barang;Jasa Lainnya;1;Tender;0,19;DKI Jakarta;Operasional/TUSI;01/03/2022;21/03/2022;14
2022;KANTOR PUSAT DJKN;31171398;35989011;Pengadaan Perpanjangan Lisensi Software;PT. METROCOM GLOBAL SOLUSI;3010000;3009999;2910936;523199;Barang;Jasa Lainnya;1;Tender;0,03;DKI Jakarta;IT;22/02/2022;09/03/2022;10
2022;BADAN PENGELOLA DANA LINGKUNGAN HIDUP;33277034;35974011;Pengadaan Sewa Kendaraan Roda 4 Dinas Jabatan dan Operasional April-Desember TA 2022;PT. Bumi Daya Plaza;795000;519480;460448;525113;Barang;Jasa Lainnya;1;Tender;0,11;DKI Jakarta;Sewa Kendaraan;15/02/2022;01/03/2022;10
2022;SISTEM PERBENDAHARAAN DAN ANGGARAN NEGARA;33425445;35964011;Pengadaan Jasa Perpanjangan Annual Technical Support (ATS) Dan Advance Customer Services (ACS) Lisensi Oracle Pada Server SPAN Tahun Anggaran 2022;PT. SIGMA CIPTA CARAKA;47374598;41948754;41843103;523121;Barang;Pengadaan Barang;1;Tender;0;DKI Jakarta;IT;21/02/2022;09/03/2022;11
2022;KANTOR WILAYAH DJP KEPULAUAN RIAU;33545202;35960011;Pekerjaan Jasa Kebersihan Gedung dan Halaman Kantor Wilayah DJP Kepulauan Riau Tahun Anggaran 2022;PT. KENCANA MAKMUR LESTARI;520000;511862;456629;522191;Barang;Jasa Lainnya;1;Tender;0,11;Kepulauan Riau;Operasional/TUSI;11/02/2022;23/02/2022;9
2022;KANTOR PUSAT DIREKTORAT JENDERAL BEA DAN CUKAI;30666864;35943011;Pengadaan Jasa Pelaksana Konstruksi Pembangunan Infrastruktur dan Sarana Prasarana Unit K9 (Tahap 2) Kantor Pusat DJBC Tahun Anggaran 2022;PT. Tigamas Mitra Selaras;41099999;41069671;32855737;533111;Modal;Pekerjaan Konstruksi;1;Tender;0,2;DKI Jakarta;Pekerjaan Konstruksi;11/02/2022;14/03/2022;20
2022;KANTOR PUSAT DIREKTORAT JENDERAL BEA DAN CUKAI;32742331;35941011;Pengadaan Jasa Pemeliharaan Server Fujitsu dan Sarana Pendukungnya di Lingkungan Direktorat Jenderal Bea dan Cukai TA 2022;PT NUSANTARA COMPNET INTEGRATOR;4391270;4375624;4323589;523121;Barang;Jasa Lainnya;1;Tender;0,01;DKI Jakarta;IT;09/02/2022;23/02/2022;11
2022;KANTOR LAYANAN INFORMASI DAN PENGADUAN;31347242;35920011;Pemeliharaan Perangkat Contact Center Inbound dan Aplikasi Pendukungnya Tahun Anggaran 2022;PT JAYA TEKNIK INDONESIA;700000;580000;571120;523129;Barang;Jasa Lainnya;1;Tender;0,02;DKI Jakarta;IT;08/02/2022;21/02/2022;10
2022;KANTOR PELAYANAN PERBENDAHARAAN NEGARA TARAKAN;30998585;35919011;Konstruksi Fisik Renovasi Rumah Dinas Jabatan KPPN Tarakan;CV. PILAR SINERGI;622237;330640;265000;533121;Modal;Pekerjaan Konstruksi;1;Tender;0,2;Kalimantan Utara;Pekerjaan Konstruksi;07/03/2022;25/03/2022;15
2022;PUSAT SISTEM INFORMASI DAN TEKNOLOGI KEUANGAN;30886888;35918011;Jasa Konsultansi Konstruksi Perencanaan Pengembangan Data Center Kementerian Keuangan Tahun Anggaran 2022;PT. YODYA KARYA (PERSERO);4000000;2514630;2039950;533121;Modal;Jasa Konsultansi Badan Usaha Konstruksi;2;Seleksi;0,19;DKI Jakarta;Konsultansi Konstruksi;10/02/2022;21/03/2022;26
2022;KANTOR PUSAT DIREKTORAT JENDERAL BEA DAN CUKAI;33136500;35915011;Pengadaan Sepatu Dinas Pegawai DJBC Tahun Anggaran 2022;KARYA CITA LAREINE;6502860;6017204;6013360;521811;Barang;Pengadaan Barang;1;Tender;0;DKI Jakarta;Operasional/TUSI;07/02/2022;18/03/2022;28
2022;KANTOR PUSAT DIREKTORAT JENDERAL PAJAK;31408068;35912011;Pemeliharaan Microsoft Data Center Tahun Anggaran 2022;PT. MITRA INTEGRASI INFORMATIKA;2978292;1943068;1936000;523121;Barang;Jasa Lainnya;1;Tender;0;DKI Jakarta;Pemeliharaan Peralatan/Mesin;11/02/2022;22/02/2022;8
2022;KANTOR PELAYANAN PAJAK PRATAMA JAKARTA GAMBIR TIGA;33276998;35907011;Pekerjaan Jasa Konsultansi Perencanaan Konstruksi Renovasi Atap Bangunan Gedung KPP Pratama Jakarta Gambir Tiga;PT. MATARAM SURYA CIPTA;384000;327730;309263;533121;Modal;Jasa Konsultansi Badan Usaha Konstruksi;1;Seleksi;0,06;DKI Jakarta;Konsultansi Konstruksi;16/02/2022;28/03/2022;27
2022;KANTOR PELAYANAN PAJAK PRATAMA SIDOARJO UTARA;31495782;35903011;Pengadaan Konsultan Pengawas Kegiatan Renovasi Gedung KPP Pratama Sidoarjo Utara Tahun Anggaran 2022;PT.TITIAN CAHAYA CONSULTAN;945000;559771;413653;533121;Modal;Jasa Konsultansi Badan Usaha Konstruksi;2;Seleksi;0,26;Jawa Timur;Konsultansi Konstruksi;04/02/2022;16/03/2022;27
2022;PUSAT SISTEM INFORMASI DAN TEKNOLOGI KEUANGAN;31238383;35899011;Upgrade Perangkat Server M8 Tahun Anggaran 2022;PT. METROCOM GLOBAL SOLUSI;9123541;9123514;9004935;532111;Modal;Pengadaan Barang;2;Tender;0,01;DKI Jakarta;IT;08/02/2022;01/03/2022;15
2022;KANTOR PELAYANAN PAJAK PRATAMA BALIKPAPAN TIMUR;33136498;35895011;Pengadaan Jasa Cleaning Service KPP Pratama Balikpapan Timur bulan Maret-Desember 2022;PT. LAJALI EDO JAYA;381000;375590;339799;523111;Barang;Jasa Lainnya;1;Tender;0,1;Kalimantan Timur;Operasional/TUSI;11/02/2022;22/02/2022;8
2022;KANTOR PUSAT DIREKTORAT JENDERAL PAJAK;31408118;35881011;Pemeliharaan UPS di Luar Pulau Jawa Tahun Anggaran 2022;PT. Citra Media Interaktif;13553777;12528907;12517490;523121;Barang;Jasa Lainnya;2;Tender;0;DKI Jakarta;Pemeliharaan Peralatan/Mesin;21/02/2022;07/03/2022;9
2022;PANGKALAN SARANA OPERASI DJBC TANJUNG BALAI KARIMUN;32369456;35878011;Pengadaan Minyak Pelumas untuk Kapal Patroli;cv Tunisanga;2100000;2067458;1953600;523123;Barang;Pengadaan Barang;1;Tender;0,06;Kepulauan Riau;Pemeliharaan Peralatan/Mesin;15/02/2022;09/03/2022;15
2022;KANTOR PUSAT PENGOLAHAN DATA DAN DOKUMEN PERPAJAKAN;32869213;35877011;Jasa pengangkutan dokumen/kemasan untuk kegiatan operasional Tahun Anggaran 2022;PT. TIGA PULUH JUNI;3300000;3109680;2816121;522191;Barang;Jasa Lainnya;1;Tender;0,09;Banten;Operasional/TUSI;03/02/2022;21/02/2022;13
2022;KANTOR PUSAT DIREKTORAT JENDERAL BEA DAN CUKAI;30940049;35869011;Pemeliharaan Puskodal;PT. Panorama Graha Teknologi;6823576;6822171;6794154;523121;Barang;Jasa Lainnya;3;Tender;0;DKI Jakarta;Pemeliharaan Peralatan/Mesin;04/02/2022;21/02/2022;12
2022;KANTOR PENGOLAHAN DATA DAN DOKUMEN PERPAJAKAN JAMBI;30790452;35856011;Pengadaan Jasa Pengolahan Data dan Dokumen Perpajakan KPDDP Jambi Tahun Anggaran 2022;PT. KENCANA MAKMUR LESTARI;3800205;3396680;3020976;522191;Barang;Jasa Lainnya;1;Tender;0,11;Jambi;Operasional/TUSI;02/02/2022;16/02/2022;11
2022;PUSAT SISTEM INFORMASI DAN TEKNOLOGI KEUANGAN;31407718;35844011;Jasa Instalasi Local Area Network (LAN);PT.Platinum Network Indonesia;500000;480062;404250;522191;Barang;Jasa Lainnya;1;Tender;0,16;DKI Jakarta;Pemeliharaan Bangunan Gedung;26/01/2022;14/02/2022;13
2022;BADAN PENDIDIKAN DAN PELATIHAN KEUANGAN;32690750;35842011;Pengadaan Jasa Konsultansi Perencanaan Renovasi Atap Gedung C dan Gedung D Sekretariat BPPK Tahun Anggaran 2022;CV.MARGA JAYA;498000;247647;198779;533121;Modal;Jasa Konsultansi Badan Usaha Konstruksi;1;Seleksi;0,2;DKI Jakarta;Konsultansi Konstruksi;11/02/2022;29/03/2022;31
2022;KANTOR WILAYAH DJP JAWA TIMUR II;32624412;35839011;PAKET PEKERJAAN JASA KONSULTANSI PENGAWASAN KONSTRUKSI FISIK RENOVASI RUMAH DINAS  KANTOR WILAYAH DJP JAWA TIMUR II;PT.TITIAN CAHAYA CONSULTAN;277000;276835;212303;533121;Modal;Jasa Konsultansi Badan Usaha Konstruksi;1;Seleksi;0,23;Jawa Timur;Konsultansi Konstruksi;02/02/2022;07/03/2022;22
